cust_id,equip_id,csa1,serial,model,manufacturer,product_type,date_installed,last_service_date,recommended_service,next_service_date,equipment_notes,warranty_policy,extended,warranty_length,warranty_type,expiration_date,warranty_notes,hide,created_at,updated_at
21,50,,L453KUT7G,TUY080R9V3A,Trane,Gas Furnace,03/28/1997,10/03/2012,12,10/03/2013,,1433924,1,10 Year,Parts & Labor,03/26/2007,,0,05/24/2017,05/24/2017
22,51,,N115JBO7G,TUCO80C942B4,Trane,Furnace,09/02/1998,08/01/2003,12,08/01/2004,,1617341,1,10 Year,Parts & Labor,08/30/2008,,0,05/24/2017,05/24/2017
22,52,,N252YR55G,TXCO25C4HPB,Trane,Coil,09/02/1998,08/01/2003,12,08/01/2004,,1617341,1,10 Year,Parts & Labor,09/02/2008,,0,05/24/2017,05/24/2017
22,53,,N252WA71F,TTXO24C100A,Trane,Air Conditioner,09/02/1998,06/09/2005,12,06/09/2006,,1617341,1,10 Year,Parts & Labor,09/02/2008,,0,05/24/2017,05/24/2017
23,54,264F,N514JS17G,TUX080C942C,Trane,Gas Furnace,10/11/1999,12/28/2016,12,12/28/2017,,1757497,1,10 Year,Parts & Labor,10/08/2009,,0,05/24/2017,05/24/2017
24,55,,K423PKR7G,TUY100R9V4A,Trane,Furnace,11/28/1995,10/30/2009,12,10/30/2010,,1238653,1,10 Year,Parts & Labor,11/25/2005,,0,05/24/2017,05/24/2017
24,56,,M15551eff,TTX030C100A3,Trane,Air Conditioner,06/20/1997,09/01/2003,12,09/01/2004,,1433944,1,10 Year,Parts & Labor,06/20/2007,,0,05/24/2017,05/24/2017
24,57,,L44728015,TXCO37C4HPB1,Trane,Coil,06/20/1997,06/20/1997,12,06/20/1998,,1433944,1,10 Year,Parts & Labor,06/20/2007,,0,05/24/2017,05/24/2017
24,58,,0,2400,Spacegard,Air Cleaner,11/28/1995,08/17/2007,12,08/17/2008,,,1,10 Year,Parts & Labor,11/28/2005,,0,05/24/2017,05/24/2017
25,59,436A,REMOVED    J26225985,TTX030C100A,Trane,Air Conditioner,09/16/1994,07/22/2014,12,07/22/2015,,1136928,1,10 Year,Parts & Labor,09/13/2004,,0,05/24/2017,05/24/2017
