cust_id,csa,equip_id,start_date,end_date,term,equip_desc,total_perks,created_at,updated_at
523,361H,11084,10/16/2015,10/16/2016,1,HEAT PUMP SYSTEM,,05/22/2017,05/22/217
527,265H,7398,12/07/2015,12/07/2016,1,HEAT PUMP SYSTEM,,05/22/2017,05/22/217
556,537A,9720,06/10/2015,06/10/2016,1,A/C,,05/22/2017,05/22/217
556,537F,16167,06/10/2015,06/10/2016,1,FURNACE,,05/22/2017,05/22/217
584,250F,1425,08/28/2015,08/28/2016,1,FURNACE ONLY,,05/22/2017,05/22/217
610,464,,,,,,,05/22/2017,05/22/217
628,630A,1533,08/02/2016,08/02/2017,1,A/C,,05/22/2017,05/22/217
628,630F,1534,08/02/2016,08/02/2017,1,FURNACE,,05/22/2017,05/22/217
667,111A,14039,10/01/2015,10/01/2016,1,A/C,,05/22/2017,05/22/217
667,111F,14038,10/01/2015,10/01/2016,1,FURNACE,,05/22/2017,05/22/217
685,206F,1694,11/02/2015,11/02/2016,1,FURNACE,,05/22/2017,05/22/217
689,457F,1705,11/04/2016,11/04/2017,1,FURNACE,,05/22/2017,05/22/217
694,125A,1717,03/03/2016,03/03/2017,1,A/C,,05/22/2017,05/22/217
694,125F,1716,03/03/2016,03/03/2017,1,FURNACE,,05/22/2017,05/22/217
711,210A,1769,11/17/2015,11/17/2016,1,A/C,,05/22/2017,05/22/217
711,210F,1768,11/17/2015,11/17/2016,1,FURNACE,,05/22/2017,05/22/217
728,331H,1815,01/02/2015,01/02/2017,2,HEAT PUMP,,05/22/2017,05/22/217
728,331V,1813,01/02/2015,01/02/2017,2,AIR HANDLER,,05/22/2017,05/22/217
745,599,10594,10/03/2016,10/03/2017,1,FURNACE & A/C,,05/22/2017,05/22/217
760,168H,1906,10/12/2015,10/12/2016,1,HEAT PUMP,,05/22/2017,05/22/217
760,168V,1907,10/12/2015,10/12/2016,1,AIR HANDLER,,05/22/2017,05/22/217
774,579A,1933,,,1,,,05/22/2017,05/22/217
774,579F,7885,,,1,,,05/22/2017,05/22/217
796,257,1995,12/14/2015,12/14/2016,1,FURNACE,,05/22/2017,05/22/217
796,257A,1994,12/14/2015,12/14/2016,1,A/C,,05/22/2017,05/22/217
831,220A,4964,12/22/2015,12/22/2016,1,A/C,,05/22/2017,05/22/217
831,220F,9381,12/22/2015,12/22/2016,1,FURNACE,,05/22/2017,05/22/217
944,500A,2378,11/01/2016,11/01/2017,1,A/C,,05/22/2017,05/22/217
944,500F,2376,11/01/2016,11/01/2017,1,FURNACE,,05/22/2017,05/22/217
961,180A,2421,09/14/2015,09/14/2016,1,A/C,,05/22/2017,05/22/217
961,180F,2420,09/14/2015,09/14/2016,1,FURNACE,,05/22/2017,05/22/217
990,515A,2490,,,1,,,05/22/2017,05/22/217
990,515F,9686,,,1,,,05/22/2017,05/22/217
1002,194A,2519,10/09/2015,10/09/2016,1,A/C,,05/22/2017,05/22/217
1002,194F,2517,10/09/2015,10/09/2016,1,FURNACE,,05/22/2017,05/22/217
1023,244A,2561,02/23/2016,02/23/2017,1,A/C,,05/22/2017,05/22/217
1023,244F,2560,02/23/2016,02/23/2017,1,FURNACE,,05/22/2017,05/22/217
1040,489,,01/12/2016,01/12/2017,,HEAT PUMP,,05/22/2017,05/22/217
1049,145A,2607,09/10/2015,09/10/2016,1,A/C,,05/22/2017,05/22/217
1049,145F,2608,09/10/2015,09/10/2016,1,FURNACE,,05/22/2017,05/22/217
1080,341A,5480,12/10/2015,12/10/2016,1,A/C,,05/22/2017,05/22/217
1080,341F,6050,12/10/2015,12/10/2016,1,FURNACE,,05/22/2017,05/22/217
1083,201A,7378,12/17/2015,12/17/2016,1,A/C,,05/22/2017,05/22/217
1083,201F,2631,12/17/2015,12/17/2016,1,FURNACE,,05/22/2017,05/22/217
1121,388A,3994,,,,A/C,,05/22/2017,05/22/217
1121,388F,3992,,,,FURNACE,,05/22/2017,05/22/217
1124,160O,7659,09/09/2015,09/09/2016,1,OIL BOILER,,05/22/2017,05/22/217
1186,112A,11435,08/13/2015,08/13/2016,1,A/C,,05/22/2017,05/22/217
1186,112O,11437,08/13/2015,08/13/2016,1,OIL FURNACE,,05/22/2017,05/22/217
1195,259O,2788,11/24/2015,11/24/2016,1,OIL FURNACE ONLY,,05/22/2017,05/22/217
1196,153A,8969,09/09/2015,09/09/2016,1,A/C,,05/22/2017,05/22/217
1196,153F,8968,09/09/2015,09/09/2016,1,FURNACE,,05/22/2017,05/22/217
1200,104A,7211,01/26/2016,01/26/2017,1,A/C,,05/22/2017,05/22/217
1200,104F,7213,01/26/2016,01/26/2017,1,FURNACE,,05/22/2017,05/22/217
1206,247A,11231,12/15/2015,12/15/2016,1,A/C,,05/22/2017,05/22/217
1206,247F,2819,12/15/2015,12/15/2016,1,FURNACE,,05/22/2017,05/22/217
1223,108A,4393,09/19/2014,09/19/2016,2,A/C,,05/22/2017,05/22/217
1223,108F,2864,09/19/2014,09/19/2016,2,FURNACE,,05/22/2017,05/22/217
1225,277A,5395,01/07/2016,01/07/2017,1,A/C,,05/22/2017,05/22/217
1225,277F,2867,01/07/2016,01/07/2017,1,FURNACE,,05/22/2017,05/22/217
1231,212F,2873,09/08/2015,09/08/2016,1,FURNACE,,05/22/2017,05/22/217
1250,378F,2923,,,,FURNACE,,05/22/2017,05/22/217
1272,148A,7190,02/26/2016,02/26/2017,1,A/C,,05/22/2017,05/22/217
1272,148F,7192,02/26/2016,02/26/2017,1,FURNACE,,05/22/2017,05/22/217
1301,135O,3003,09/14/2015,09/14/2016,1,OIL FURNACE,,05/22/2017,05/22/217
1305,612A,14057,12/14/2016,12/14/2017,1,A/C,,05/22/2017,05/22/217
1305,612F,13868,12/14/2016,12/14/2017,1,FURNACE,,05/22/2017,05/22/217
1313,315A,5536,02/03/2016,02/03/2017,1,A/C,,05/22/2017,05/22/217
1313,315F,3023,02/03/2016,02/03/2017,1,FURNACE,,05/22/2017,05/22/217
1371,594A,9528,04/07/2016,04/07/2017,1,AC,,05/22/2017,05/22/217
1371,594F,9474,04/07/2016,04/07/2017,1,FURNACE,,05/22/2017,05/22/217
1372,131A,13167,02/26/2015,02/26/2016,1,A/C,,05/22/2017,05/22/217
1372,131F,3081,02/26/2015,02/26/2016,1,FURNACE,,05/22/2017,05/22/217
1398,280A,4306,02/26/2016,02/26/2017,1,A/C,,05/22/2017,05/22/217
1398,280F,3116,02/26/2016,02/26/2017,1,FURNACE,,05/22/2017,05/22/217
1411,146A,8357,09/18/2015,09/18/2016,1,A/C,,05/22/2017,05/22/217
