equip_id,cust_id,warranty_notes,created_at,updated_at
9474,1371,Lifetime heat exchanger warranty,05/27/17,05/27/17
9475,4257,Lifetime heat exchanger warranty,05/27/17,05/27/17
9482,4260,Lifetime heat exchanger warranty,05/27/17,05/27/17
9487,3129,Lifetime heat exchanger warranty,05/27/17,05/27/17
9507,4269,10 yr compressor warranty,05/27/17,05/27/17
9517,4274,Lifetime heat exchanger warranty,05/27/17,05/27/17
9537,4284,Lifetime heat exchanger warranty,05/27/17,05/27/17
9539,4284,Lifetime compressor warranty,05/27/17,05/27/17
9556,4294,Lifetime heat exchanger warranty,05/27/17,05/27/17
9557,4274,Lifetime compressor warranty,05/27/17,05/27/17
9564,4299,Lifetime compressor warranty,05/27/17,05/27/17
9565,4299,Lifetime heat exchanger warranty,05/27/17,05/27/17
9569,4135,Lifetime heat exchanger warranty,05/27/17,05/27/17
9570,450,Lifetime heat exchanger warranty,05/27/17,05/27/17
9601,4086,10 yr compressor warranty,05/27/17,05/27/17
9605,4311,Lifetime heat exchanger warranty,05/27/17,05/27/17
9609,4146,10 year compressor,05/27/17,05/27/17
9610,3141,10 yr compressor warranty,05/27/17,05/27/17
9612,3141,Lifetime heat exchanger warranty,05/27/17,05/27/17
9618,4314,10 yr compressor warranty,05/27/17,05/27/17
9629,4147,10 yr compressor warranty,05/27/17,05/27/17
9647,4150,10 yr compressor warranty,05/27/17,05/27/17
9648,4325,Lifetime heat exchanger warranty,05/27/17,05/27/17
9649,4325,10 yr compressor warranty,05/27/17,05/27/17
9666,4113,Lifetime Compressor,05/27/17,05/27/17
9669,4332,Lifetime compressor warranty.,05/27/17,05/27/17
9690,4295,Lifetime Heat Exchanger,05/27/17,05/27/17
9701,4341,lifetime heat exchanger,05/27/17,05/27/17
9711,4335,10 yr. compressor warranty,05/27/17,05/27/17
9713,4341,lifetime compressor,05/27/17,05/27/17
9717,523,"Limited lifetime unit replacement if compressor should fail, 2 year no lemon warranty, 1 year labor.",05/27/17,05/27/17
9720,556,lifetime compressor,05/27/17,05/27/17
9745,2406,"10 yr compressor warranty, 10 yr parts warranty",05/27/17,05/27/17
9747,4352,"10 yr compressor warranty, 10 yr parts warranty",05/27/17,05/27/17
9749,1777,"10 yr compressor warranty, 10 yr part warranty",05/27/17,05/27/17
9758,3120,"Lifetime heat exchanger warranty, 10 yr parts warranty",05/27/17,05/27/17
9759,3120,"10 yr compressor warranty, 10 yr parts warranty",05/27/17,05/27/17
9791,4368,"Lifetime heat exchanger warranty, 10 yr parts warranty",05/27/17,05/27/17
9801,3463,Lifetime compressor warranty.,05/27/17,05/27/17
9806,4351,"Lifetime compressor warranty, 10 yr parts warranty",05/27/17,05/27/17
9811,2889,"10 yr compressor warranty, 10 yr parts warranty",05/27/17,05/27/17
9813,3861,"10 yr compressor warranty, 10 yr parts warranty",05/27/17,05/27/17
9815,4372,Lifetime warranty on heat exchanger.,05/27/17,05/27/17
9817,4372,Lifetime warranty on compressor.,05/27/17,05/27/17
9839,215,Lifetime heat exchanger warranty.,05/27/17,05/27/17
9841,215,Lifetime compressor warranty.,05/27/17,05/27/17
9852,4385,Lifetime heat exchanger warranty.,05/27/17,05/27/17
9853,4385,Lifetime Compressor warranty,05/27/17,05/27/17
9867,4243,Lifetime heat exchanger warranty.,05/27/17,05/27/17
9869,4243,10 yr. compressor warranty.,05/27/17,05/27/17
9872,4388,Lifetime heat exchanger warranty.,05/27/17,05/27/17
9874,4388,Lifetime compressor warranty.,05/27/17,05/27/17
9882,3054,Lifetime compressor warranty.,05/27/17,05/27/17
9885,299,Lifetime heat exchanger warranty.,05/27/17,05/27/17
9893,4392,10 yr. compressor warranty.,05/27/17,05/27/17
9895,4392,Lifetime heat exchanger warranty.,05/27/17,05/27/17
9898,4395,Lifetime heat exchanger warranty.,05/27/17,05/27/17
9900,4395,10 yr. compressor warranty.,05/27/17,05/27/17
9914,4401,"10 year parts warranty, lifetime heat exchanger warranty.
System was sold with a 5 year labor promotion, but paperwork was never filled out.  We will assume the 5 year labor.",05/27/17,05/27/17
9920,1889,15 year heat exchanger warranty,05/27/17,05/27/17
9922,1373,"10 year parts, 5 year labor, lifetime heat exchanger warranty.",05/27/17,05/27/17
9925,2945,"10 year parts warranty, liftetime heat exchanger warranty.",05/27/17,05/27/17
9954,4401,"10 year parts warranty, 10 year compressor warranty.
5 year labor warranty was sold with the system due to a promotion, but paperwork was never completed.  We will assume the 5 year labor.",05/27/17,05/27/17
9976,2117,"10 year parts warranty, lifetime heat exchanger warranty.

12/6/14  Furnace replaced under the 10 year full furnace replacement warranty due to a failed heat exchanger.",05/27/17,05/27/17
9988,734,"5 year labor, 10 year parts warranty.",05/27/17,05/27/17
9989,1288,"5 year labor, 10 year parts warranty.",05/27/17,05/27/17
9990,1288,"5 year labor, 10 year parts warranty.",05/27/17,05/27/17
9992,1288,"5 year labor, 10 year parts warranty.",05/27/17,05/27/17
9994,4423,"5 year labor, 10 year parts warranty.",05/27/17,05/27/17
9996,4424,"10 year parts warranty, lifetime heat exchanger warranty.",05/27/17,05/27/17
10012,4431,"10 year parts warranty, lifetime heat exchanger warranty.",05/27/17,05/27/17
